                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.46684,                 0.3715,                0.89456,                0.94985,                0.81881,                0.91736,                0.72892,                0.90475,                0.62749,                 1.1244,              0.0008045,              0.0008045,              0.0008045
                     93,                0.47895,                0.38779,                 0.9151,                0.96217,                0.80161,                0.92007,                0.75084,                0.86585,                0.60199,                 1.1015,             0.00079955,             0.00079955,             0.00079955
                     94,                0.45952,                 0.3732,                0.90732,                0.91635,                 0.8088,                0.90227,                0.73894,                0.88761,                0.61787,                 1.1242,              0.0007946,              0.0007946,              0.0007946
                     95,                 0.5046,                0.38384,                0.90791,                0.92397,                0.81151,                0.90296,                0.72613,                  0.877,                0.61017,                 1.1059,             0.00078965,             0.00078965,             0.00078965
                     96,                 0.4686,                0.36332,                 0.9181,                 0.9073,                0.82477,                0.89267,                0.72501,                0.86355,                0.65134,                 1.0854,              0.0007847,              0.0007847,              0.0007847
                     97,                0.50707,                0.38085,                0.93851,                0.93345,                0.77324,                0.87841,                0.69853,                 0.8802,                0.67242,                 1.1008,             0.00077975,             0.00077975,             0.00077975
                     98,                0.47421,                0.37725,                0.90846,                0.90206,                0.78038,                 0.8637,                0.67803,                0.92586,                0.68016,                 1.1396,              0.0007748,              0.0007748,              0.0007748
                     99,                0.46222,                0.35566,                0.91479,                0.90569,                0.80073,                0.87077,                0.67705,                0.87833,                0.65991,                 1.1109,             0.00076985,             0.00076985,             0.00076985
                    100,                0.44893,                0.34208,                0.89763,                0.92219,                0.80073,                0.87514,                0.69847,                0.84739,                0.66781,                 1.0891,              0.0007649,              0.0007649,              0.0007649
                    101,                0.45151,                0.37092,                0.89963,                0.91262,                0.81686,                0.88095,                0.67957,                0.85654,                0.71049,                 1.0924,             0.00075995,             0.00075995,             0.00075995
                    102,                0.46652,                0.36174,                0.89991,                0.94593,                0.79267,                0.88676,                0.71773,                0.86763,                0.62753,                 1.0987,               0.000755,               0.000755,               0.000755
                    103,                 0.4568,                0.35776,                0.90595,                0.97233,                0.79345,                0.89524,                0.72179,                0.88403,                0.62753,                 1.1211,             0.00075005,             0.00075005,             0.00075005
                    104,                0.44842,                0.36609,                0.88189,                0.96844,                0.77042,                0.87443,                0.70787,                 0.8907,                0.71431,                 1.1219,              0.0007451,              0.0007451,              0.0007451
                    105,                0.47737,                0.36715,                0.92698,                 0.9266,                0.76767,                0.88528,                0.70331,                0.90472,                0.74959,                  1.139,             0.00074015,             0.00074015,             0.00074015
                    106,                0.46214,                0.35006,                0.90744,                0.92295,                0.77953,                0.90654,                0.74808,                0.87621,                 0.7252,                 1.1329,              0.0007352,              0.0007352,              0.0007352
                    107,                0.47845,                0.34705,                0.90248,                0.95785,                0.78541,                 0.9041,                0.74173,                0.86124,                0.67266,                 1.1268,             0.00073025,             0.00073025,             0.00073025
                    108,                0.45533,                0.35823,                0.91667,                0.88949,                0.83443,                0.90701,                0.72743,                0.91397,                0.66025,                 1.1382,              0.0007253,              0.0007253,              0.0007253
                    109,                0.46468,                0.37301,                0.91624,                0.94239,                0.80474,                0.90542,                0.71679,                0.89764,                 0.6432,                 1.1236,             0.00072035,             0.00072035,             0.00072035
                    110,                 0.4833,                0.37863,                0.92536,                0.89908,                0.85895,                0.90395,                0.73452,                0.81871,                0.61421,                 1.0713,              0.0007154,              0.0007154,              0.0007154
                    111,                0.48171,                0.35604,                0.92137,                0.91302,                0.85467,                0.90248,                0.73084,                0.82585,                0.61446,                 1.0697,             0.00071045,             0.00071045,             0.00071045
                    112,                0.47673,                0.36334,                0.93729,                0.92954,                0.81481,                0.90663,                0.74098,                0.84519,                0.61872,                 1.0866,              0.0007055,              0.0007055,              0.0007055
                    113,                0.45012,                   0.36,                0.89124,                0.95249,                0.81962,                0.91002,                0.75002,                0.84702,                0.64128,                 1.0887,             0.00070055,             0.00070055,             0.00070055
                    114,                0.46045,                0.35219,                0.92104,                 0.9561,                0.82386,                0.90699,                0.73686,                0.87694,                0.65969,                 1.0958,              0.0006956,              0.0006956,              0.0006956
                    115,                0.47494,                0.40801,                0.92983,                0.96381,                0.78707,                0.90224,                0.73009,                0.90105,                0.67827,                 1.1104,             0.00069065,             0.00069065,             0.00069065
                    116,                0.44082,                0.33663,                0.90953,                0.97673,                 0.7962,                0.88965,                0.70493,                0.95371,                 0.7136,                 1.1418,              0.0006857,              0.0006857,              0.0006857
                    117,                0.44591,                0.34537,                0.89678,                0.97335,                 0.8063,                0.89114,                0.70347,                0.95805,                0.69334,                 1.1638,             0.00068075,             0.00068075,             0.00068075
                    118,                0.42849,                 0.3571,                 0.8918,                0.93213,                0.82324,                0.88614,                0.72591,                0.92753,                0.66842,                 1.1631,              0.0006758,              0.0006758,              0.0006758
